"country_name","continent","year","reg_deaths","expected_gbd","expected_wpp","expected_ghe","expected_deaths","death_comp","source","expected_confidence_score"
"Afghanistan","Asia",2015,18870,247444,248560,252412,249472,7.56,"Other",98.03
"Afghanistan","Asia",2016,15575,252549,245452,256237,251413,6.19,"Other",95.79
"Afghanistan","Asia",2017,20538,245989,250677,251629,249432,8.23,"Other",97.76
"Afghanistan","Asia",2018,24357,254328,256314,255865,255502,9.53,"Other",99.23
"Albania","Europe",2015,22418,20799,22954,23081,22278,100,"WMD",90.11
"Albania","Europe",2016,21388,21281,23192,24613,23029,92.87,"WMD",86.46
"Albania","Europe",2017,22232,21742,23507,26695,23981,92.71,"WMD",81.45
"Albania","Europe",2018,21804,22183,23939,28900,25007,87.19,"WMD",76.76
"Albania","Europe",2019,21937,22671,24410,31154,26078,84.12,"WMD",72.77
"Algeria","Africa",2018,177136.4,197041,187993,198574,194536,91.06,"WMD",94.67
"Algeria","Africa",2019,181442.9,201111,187620,203300,197344,91.94,"WMD",92.29
"American Samoa","Oceania",2015,314,360,285,NA,322,97.52,"Other",79.17
"American Samoa","Oceania",2016,280,367,294,NA,330,84.85,"Other",80.11
"American Samoa","Oceania",2017,310,372,295,NA,334,92.81,"Other",79.3
"American Samoa","Oceania",2018,298,378,299,NA,338,88.17,"Other",79.1
"American Samoa","Oceania",2019,278,383,309,NA,346,80.35,"Other",80.68
"Andorra","Europe",2015,282,562,424,NA,493,57.2,"WMD",75.44
"Andorra","Europe",2016,310,574,443,NA,508,61.02,"WMD",77.18
"Andorra","Europe",2017,323,592,454,NA,523,61.76,"WMD",76.69
"Andorra","Europe",2018,335,606,467,NA,536,62.5,"WMD",77.06
"Andorra","Europe",2019,301,620,480,NA,550,54.73,"WMD",77.42
"Antigua and Barbuda","Americas",2015,533,569,508,596,558,95.52,"WMD",85.23
"Antigua and Barbuda","Americas",2016,548,580,513,613,569,96.31,"WMD",83.69
"Antigua and Barbuda","Americas",2017,573,589,524,628,580,98.79,"WMD",83.44
"Antigua and Barbuda","Americas",2018,581,598,530,638,589,98.64,"WMD",83.07
"Antigua and Barbuda","Americas",2019,618,610,540,651,600,100,"WMD",82.95
"Argentina","Americas",2015,333440,331211,326265,330421,329299,100,"WMD",98.51
"Argentina","Americas",2016,352506,344291,346954,349871,347039,100,"WMD",98.41
"Argentina","Americas",2017,342341,348212,338780,340934,342642,99.91,"WMD",97.29
"Argentina","Americas",2018,337601,345616,340946,336830,341131,98.97,"WMD",97.46
"Argentina","Americas",2019,341055,348823,340033,348916,345924,98.59,"WMD",97.45
"Armenia","Asia",2015,27844,27846,27774,28047,27889,99.84,"WMD",99.03
"Armenia","Asia",2016,28129,27836,27738,28390,27988,100,"WMD",97.7
"Armenia","Asia",2017,27367,27883,27679,27328,27630,99.05,"WMD",98.01
"Armenia","Asia",2018,25645,27977,27777,25969,27241,94.14,"WMD",92.82
"Armenia","Asia",2019,26252,27978,27370,25404,26917,97.53,"WMD",90.8
"Aruba","Americas",2015,679,NA,830,NA,830,81.81,"WMD",NA
"Aruba","Americas",2016,781,NA,874,NA,874,89.36,"WMD",NA
"Aruba","Americas",2017,707,NA,887,NA,887,79.71,"WMD",NA
"Aruba","Americas",2018,717,NA,909,NA,909,78.88,"WMD",NA
"Aruba","Americas",2019,665,NA,932,NA,932,71.35,"WMD",NA
"Australia","Oceania",2015,159916,154344,157076,159930,157117,100,"WMD",96.51
"Australia","Oceania",2016,158454,156057,158305,160229,158197,100,"WMD",97.4
"Australia","Oceania",2017,163928,159889,160643,162755,161096,100,"WMD",98.24
"Australia","Oceania",2018,159084,166078,158724,160036,161613,98.44,"WMD",95.57
"Australia","Oceania",2019,164388,170852,166979,164536,167456,98.17,"WMD",96.3
"Austria","Europe",2015,82969,80893,83022,84834,82916,100,"WMD",95.35
"Austria","Europe",2016,78842,80902,80598,82663,81388,96.87,"WMD",97.5
"Austria","Europe",2017,81311,80604,83154,85607,83122,97.82,"WMD",94.16
"Austria","Europe",2018,82063,81150,84162,86239,83850,97.87,"WMD",94.1
"Austria","Europe",2019,81485,82490,83514,84971,83658,97.4,"WMD",97.08
"Azerbaijan","Asia",2015,54700,74334,66978,79562,73625,74.3,"WMD",84.18
"Azerbaijan","Asia",2016,56648,75373,65722,81717,74271,76.27,"WMD",80.43
"Azerbaijan","Asia",2017,57109,76170,66235,83751,75385,75.76,"WMD",79.09
"Azerbaijan","Asia",2018,57250,74887,65539,82339,74255,77.1,"WMD",79.6
"Azerbaijan","Asia",2019,56447,75129,65871,82178,74393,75.88,"WMD",80.16
"Bahamas","Americas",2015,2256,2445,2636,2373,2485,90.78,"WMD",90.02
"Bahamas","Americas",2016,2290,2468,2656,2414,2513,91.13,"WMD",90.89
"Bahamas","Americas",2017,2432,2521,2725,2474,2573,94.52,"WMD",90.79
"Bahamas","Americas",2018,2557,2585,2784,2538,2636,97,"WMD",91.16
"Bahamas","Americas",2019,2639,2731,3209,2667,2869,91.98,"WMD",83.11
"Bahrain","Asia",2015,2787,3430,2842,3488,3253,85.67,"Other",81.48
"Bahrain","Asia",2016,2858,3592,2889,3683,3388,84.36,"Other",78.44
"Bahrain","Asia",2017,2902,3823,2940,3986,3583,80.99,"Other",73.76
"Bahrain","Asia",2018,3052,4003,2967,4343,3771,80.93,"Other",68.32
"Bahrain","Asia",2019,3010,4266,3005,4623,3965,75.91,"Other",65
"Bangladesh","Asia",2015,78182,762381,912490,737416,804096,9.72,"Other",80.81
"Bangladesh","Asia",2016,117011,778234,900115,746912,808420,14.47,"Other",82.98
"Bangladesh","Asia",2017,166791,816603,880955,775520,824359,20.23,"Other",88.03
"Bangladesh","Asia",2018,196610,831872,858712,784597,825060,23.83,"Other",91.37
"Barbados","Americas",2015,2570,2718,2440,3104,2754,93.32,"WMD",78.61
"Barbados","Americas",2016,2584,2780,2450,3157,2796,92.42,"WMD",77.61
"Barbados","Americas",2017,2632,2848,2471,3209,2843,92.58,"WMD",77
"Barbados","Americas",2018,2531,2942,2497,3283,2907,87.07,"WMD",76.06
"Barbados","Americas",2019,2896,3093,2497,3421,3004,96.4,"WMD",72.99
"Belarus","Europe",2015,120025,121161,127107,119160,122476,98,"WMD",93.75
"Belarus","Europe",2016,119369,121652,126937,119775,122788,97.22,"WMD",94.36
"Belarus","Europe",2017,119303,122686,127460,118945,123030,96.97,"WMD",93.32
"Belarus","Europe",2018,120047,121261,128588,119799,123216,97.43,"WMD",93.16
"Belarus","Europe",2019,120913,121777,134161,116251,124063,97.46,"WMD",86.65
"Belgium","Europe",2015,112409,108854,110843,111618,110438,100,"WMD",97.52
"Belgium","Europe",2016,107532,108668,108163,109558,108796,98.84,"WMD",98.73
"Belgium","Europe",2017,109278,110197,109875,113011,111028,98.42,"WMD",97.23
"Belgium","Europe",2018,110341,112085,110929,113726,112247,98.3,"WMD",97.54
"Belgium","Europe",2019,108436,114074,109123,113252,112150,96.69,"WMD",95.66
"Belize","Americas",2015,1812,1736,1688,1666,1697,100,"WMD",95.97
"Belize","Americas",2016,1829,1783,1722,1708,1738,100,"WMD",95.79
"Belize","Americas",2017,1930,1839,1763,1758,1787,100,"WMD",95.6
"Belize","Americas",2018,1915,1924,1808,1830,1854,100,"WMD",93.97
"Belize","Americas",2019,1994,1990,1835,1884,1903,100,"WMD",92.21
"Benin","Africa",2018,973,93306,112575,93269,99717,0.98,"Other",82.85
"Benin","Africa",2019,2550,93065,113670,93440,100058,2.55,"Other",81.87
"Bermuda","Americas",2015,478,526,500,NA,513,93.18,"WMD",95.06
"Bermuda","Americas",2016,492,538,528,NA,533,92.31,"WMD",98.14
"Bermuda","Americas",2017,481,552,461,NA,506,95.06,"WMD",83.51
"Bermuda","Americas",2018,533,566,572,NA,569,93.67,"WMD",98.95
"Bermuda","Americas",2019,535,580,580,NA,580,92.24,"WMD",100
"Bhutan","Asia",2019,3220,4252,5083,4529,4621,69.68,"WMD",83.65
"Bolivia","Americas",2015,48935,71556,80069,77340,76322,64.12,"WMD",89.37
"Bolivia","Americas",2016,50767,72578,80050,79470,77366,65.62,"WMD",90.67
"Bolivia","Americas",2017,49794,73677,81303,81702,78894,63.12,"WMD",90.18
"Bolivia","Americas",2018,51570,74761,82718,84106,80528,64.04,"WMD",88.89
"Bolivia","Americas",2019,51998,75910,83967,86423,82100,63.33,"WMD",87.84
"Bosnia","Europe",2015,38150,36960,42532,36176,38556,98.95,"WMD",85.06
"Bosnia","Europe",2016,36571,36739,40609,36310,37886,96.53,"WMD",89.41
"Bosnia","Europe",2017,36336,36827,40917,36612,38119,95.32,"WMD",89.48
"Bosnia","Europe",2018,36305,37214,41164,37275,38551,94.17,"WMD",90.4
"Bosnia","Europe",2019,37130,37424,41386,37793,38868,95.53,"WMD",90.43
"Botswana","Africa",2015,13030,20581,17131,19564,19092,68.25,"Other",83.24
"Botswana","Africa",2016,12825,20502,15946,19736,18728,68.48,"Other",77.78
"Botswana","Africa",2017,12386,20787,15139,20131,18686,66.28,"Other",72.83
"Botswana","Africa",2018,12609,21028,16957,20491,19492,64.69,"Other",80.64
"Botswana","Africa",2019,13185,21172,17423,20658,19751,66.76,"Other",82.29
"Brazil","Americas",2015,1264175,1319520,1319930,1268131,1302527,97.06,"WMD",96.08
"Brazil","Americas",2016,1309774,1359332,1351923,1315875,1342377,97.57,"WMD",96.8
"Brazil","Americas",2017,1312663,1362176,1353694,1312683,1342851,97.75,"WMD",96.37
"Brazil","Americas",2018,1316719,1382045,1369336,1349463,1366948,96.33,"WMD",97.64
"Brazil","Americas",2019,1349801,1411016,1391436,1372410,1391621,96.99,"WMD",97.26
"Brunei","Asia",2015,1547,1654,1809,1855,1773,87.25,"WMD",89.16
"Brunei","Asia",2016,1632,1704,1884,1966,1851,88.17,"WMD",86.67
"Brunei","Asia",2017,1696,1765,1961,2062,1929,87.92,"WMD",85.6
"Brunei","Asia",2018,1612,1826,2042,2154,2007,80.32,"WMD",84.77
"Brunei","Asia",2019,1757,1880,2119,2235,2078,84.55,"WMD",84.12
"Bulgaria","Europe",2015,112119,122174,116272,108241,115562,97.02,"WMD",88.6
"Bulgaria","Europe",2016,107031,122006,113430,107130,114189,93.73,"WMD",87.81
"Bulgaria","Europe",2017,109320,122026,115964,109934,115975,94.26,"WMD",90.09
"Bulgaria","Europe",2018,108205,124033,115908,108461,116134,93.17,"WMD",87.45
"Bulgaria","Europe",2019,107815,124226,114802,106183,115070,93.7,"WMD",85.48
"Burkina Faso","Africa",2015,21726,197495,180442,151982,176640,12.3,"Other",76.95
"Burkina Faso","Africa",2016,20928,198216,179548,152078,176614,11.85,"Other",76.72
"Burkina Faso","Africa",2017,25867.6470588235,198906,180836,151781,177174,14.6,"Other",76.31
"Burkina Faso","Africa",2018,24969.272727272728,199971,179776,151725,177157,14.09,"Other",75.87
"Cabo Verde","Africa",2015,2761,2958,3149,2444,2850,96.88,"WMD",77.61
